Text,Date,Retweets,Favorites,Month,Year,NEG,NEU,POS,COMP,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy
infatti spesso chi nega le evidenze chi non disposto fare nulla per cambiare direzione il climate change non esiste dunque non serve cambiate abitudini,2019-07-25,0,4,7,2019,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
pointing hypocritical telling us climate change going release book,2020-03-14,0,0,3,2020,0.273,0.727,0.0,-0.4588,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
jeff bezos commits 10 billion fight climate change,2020-02-17,0,0,2,2020,0.268,0.619,0.113,-0.3612,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
lorde explains solar power isnt big climate change record httpstcob8imzsxtdr,2021-06-27,0,1,6,2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
join us leithwalk tuesday 26th 1745 live reading ipccch report climatechange lets gather community talk cop26 climate change resilience persevere httpstcoxk8ondblez,2021-10-25,7,8,10,2021,0.0,0.901,0.099,0.296,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
travelerschamp live ct would rather focus golf interested travelers billions invested fossil fuels continues fuel climate crisis travelers insurance sponsor climate change,2020-06-25,20,19,6,2020,0.153,0.746,0.101,-0.34,0.125,0.0,0.125,0.0,0.375,0.125,0.125,0.125,0.0
russia positioning libya unleash migrant crisis europe putin weaponizing refugees personally flood people climate change put need,2019-11-12,0,0,11,2019,0.204,0.796,0.0,-0.6249,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
senschumer covid relief vaccine roll climate change bills underway president biden impressive infrastructure plan jumpstart commerce creating 10s thousands new jobs real president midst devastating economic crisis saying,2021-03-01,0,0,3,2021,0.21,0.575,0.215,-0.2023,0.1111111111111111,0.05555555555555555,0.2777777777777778,0.0,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0
explainer top cop26 questions answered dont expect visit xijinping 26th united nations climate change conference glasgow keep eye fresh promises write thereseraphael1 nicole90t bloomberg httpstco74nljfbdv2,2021-10-26,3,3,10,2021,0.0,0.689,0.311,0.8176,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.0
tribal personally familiar vicious attacks leveled colleagues like michael mann work controversial areas like climate change focusing supposed excesses pc culture obscures danger attacks httpstco3m2cwwtrwe,2020-12-09,0,8,12,2020,0.37,0.493,0.137,-0.8176,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.0
sounds like socialism wrapped woke mantel climate change activism stupidity,2019-12-27,0,2,12,2019,0.216,0.597,0.187,-0.1027,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
willard1951 ammocrypta relampagoblanc2 automatrix66kc climatehope2 thedisproof 0sundance mikedel21893959 fcmfcs2019 gladfly1 vieuxrhone fknsavages27 denseevi bubbasranch jamesrider3 fishyfish67 jwickers atomskssanakan joetheatheistp bridgetholmstro richardwakelin3 anvndarnamn5 91996340e81d45a jamz129 paprikalady spurglyd mattp1949 bbolshevik100 markalunn tangomitteckel kctaz no2wind bananenrijperij htservadac asinister lovepeacejusti1 oscarswild1 tqmka truepat89736316 jaisans tuimalila over400ppm schtickery claudel1979 turtlefl damo73 thinksaboutit dan613 mgh3kusa oh lord climatechange denier well done existed closet twitter httpstcoeo66kslbkd,2021-04-13,0,1,4,2021,0.041,0.925,0.034,-0.1027,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
never mind heat climate change hoax gravytrain scientists httpsyoutubeeemus7pawfw via youtube,2019-09-11,0,0,9,2019,0.174,0.826,0.0,-0.2732,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
could care less thisim voting better healthcare protecting womens reproductive rights gun reform supreme court justices climate change biden important family,2020-05-01,0,0,5,2020,0.081,0.54,0.379,0.8332,0.2,0.13333333333333333,0.13333333333333333,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667
really need urgent action emissions reduction forefront climate change need govt strengthen targets pleading world cant still grabbing dirty money new massive coal mines,2020-01-11,0,2,1,2020,0.0,0.756,0.244,0.6989,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667
cannot delay switching fossil fuels alternatives making change increase national security prevent natural disasters boost employment preserve endangered species testimony gregvitali policy hearing needs heard across pa climatechange,2019-01-24,5,5,1,2019,0.096,0.559,0.345,0.7478,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0
dont agree alarmist 12 years1 drivel antropogenic climate change legitimate policy concern theres need lie get attention,2020-03-06,0,0,3,2020,0.117,0.883,0.0,-0.2755,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.0
realdonaldtrump whitehouse real leader germanys merkel vows put energy fighting climate change must everything humanly possible deal humanity german chancellors new years message,2019-12-31,1,1,12,2019,0.098,0.82,0.082,-0.1027,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.0,0.13333333333333333
nasa climate changes due shifts solar orbit human activity httpswwwoanncomnasaclimatechangesduetoshiftsinsolarorbitnothumanactivity,2019-10-02,0,0,10,2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
martinjbern johnleepettim13 cbrown109 peterdclack ive reading primary literatureyeah people trying sell manmade climate change,2021-11-13,0,1,11,2021,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
like listening 5yearold trying interpret climate change,2020-07-15,0,2,7,2020,0.0,0.706,0.294,0.3612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change building codes new buildings climate neutral would believe trying regulate carbon neutral hard counteract reduced gas prices without tax,2019-05-11,1,2,5,2019,0.069,0.931,0.0,-0.1027,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0
new city toronto loses expert climatechange impact httpswwwthestarcomnewscityhall20190816cityoftorontolosesexpertinclimatechangeimpacthtml via torontostar,2019-08-17,1,1,8,2019,0.204,0.796,0.0,-0.3182,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
risks global businesses new era epidemics rival climate change gt press releases httpswwwweforumorgpress201901riskstoglobalbusinessesfromneweraofepidemicsrivalclimatechange via wef business leaders must include epidemic preparedness among risks manage annually 200 epidemics cost 570b globalhealth,2019-01-19,1,3,1,2019,0.126,0.811,0.063,-0.2732,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
every living thing depends support corporationsbusinesses actively engaged contact statelocalfederal tell urgent climate change coming httpstcowyykslt8oe,2020-09-18,0,0,9,2020,0.0,0.558,0.442,0.8176,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091
really dont give shit either way really need objective comes climate change stop making political issue right need accept real threat left need stop dramatic exaggerating,2019-11-28,0,0,11,2019,0.269,0.567,0.164,-0.4044,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0
oh fact fires nothing climate change everything arsonists,2020-01-08,0,0,1,2020,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
modelling assess costs impacts climate change benefits avoided warming associated different global emissions trajectories,2021-11-12,0,0,11,2021,0.136,0.625,0.239,0.2023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwahahaha going landslide lnp things mismanaged complete instability coalition along inaction climate change morrisons reelection doesnt stand snowballs chance hell,2019-01-31,1,1,1,2019,0.329,0.671,0.0,-0.8095,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.0
