,quality
6359,6
4222,7
3619,6
2291,5
3211,7
1421,5
3290,7
5906,7
6161,7
3190,6
3091,5
5914,7
2199,6
2217,6
1930,5
3278,5
2366,6
6295,6
3077,6
6303,6
1453,5
3914,6
5955,5
6452,5
3917,4
4537,8
4483,7
3555,5
603,6
3143,5
5832,6
4062,7
1733,5
5689,6
487,6
6495,7
2880,7
4420,5
6076,5
4650,5
5346,6
568,6
3330,6
2250,7
1674,5
5052,6
4620,4
4926,7
2910,6
3560,5
2422,6
4714,6
2876,5
1066,7
36,6
6180,6
3683,6
1491,5
2766,6
913,7
343,6
3111,7
2718,5
5666,5
1936,6
3101,5
5822,4
4180,7
339,7
1014,6
387,6
443,7
3102,7
3176,4
2874,6
2850,5
5733,6
2082,5
4965,6
4019,7
5447,6
1215,6
5452,7
255,5
3699,5
4838,7
1580,6
3593,6
2247,5
3904,7
3315,6
2520,6
1070,7
4810,6
1081,7
3673,6
1398,7
1929,8
4206,6
2607,7
3168,5
5982,6
5882,6
2080,6
305,6
6236,6
3866,6
1953,6
1343,6
5291,7
6175,5
3371,6
4512,5
1649,6
5180,7
5129,5
4878,6
2645,5
4564,8
120,5
238,6
3366,5
5805,6
6313,7
953,7
1872,5
19,6
3612,6
901,7
1084,6
3375,5
4437,7
4653,6
4377,7
3598,6
4903,7
5564,4
3087,6
4174,6
3181,7
5935,8
3433,6
5349,7
293,6
5812,4
5707,6
1997,5
4942,7
5046,6
4151,5
666,6
5760,7
2666,7
2735,8
1697,4
4697,7
6069,6
2023,7
5187,6
2510,5
2495,6
4756,7
2574,5
1870,5
5403,5
940,7
1079,7
561,5
3145,6
1124,4
4616,6
3753,4
6202,6
2722,5
2472,3
3267,7
674,6
5455,6
2040,6
4356,5
3033,5
1515,6
5058,6
2840,7
3559,5
4082,6
4869,5
3725,5
605,6
2692,7
5379,5
703,4
1531,5
5558,6
1213,6
4130,4
1576,6
5699,6
5747,6
1563,5
3767,7
1504,6
94,4
5400,6
2271,8
6028,6
2717,5
6399,7
1300,6
4081,6
401,6
6246,7
4313,6
4315,5
5686,6
4556,6
1785,6
4553,7
4560,6
4969,6
729,6
2959,6
5237,7
4282,5
6325,6
127,5
1204,7
5038,5
2281,6
4747,6
750,5
2236,5
3436,7
3293,6
867,6
1911,6
6070,6
4311,5
4923,6
3276,6
2618,6
2871,5
2853,5
1322,5
4111,6
4522,6
5745,7
5363,8
6394,7
1344,5
2246,6
5421,6
4552,5
2026,5
5390,5
2248,7
5843,5
1167,7
2770,5
6496,6
1169,6
3942,5
5933,8
942,7
1847,7
4041,5
1060,6
142,6
1493,5
6066,5
4234,6
4793,5
3806,7
304,5
5513,7
65,5
1315,6
3731,6
3385,7
3345,5
2109,6
1199,6
2445,5
834,5
5533,6
5404,6
3369,6
5870,5
2337,7
4864,3
5722,6
5784,5
3836,4
1486,5
5147,6
5837,5
1393,5
2518,7
2163,5
4882,6
9,5
4023,5
1640,6
1746,4
2342,5
153,5
6245,7
3670,6
4530,8
5163,6
6165,5
6460,6
3971,4
1976,7
149,6
2608,6
1869,6
5916,7
2795,7
1586,6
2126,6
3659,5
3053,5
407,7
3313,5
370,5
2539,5
69,6
4364,6
1174,6
4700,6
6255,7
594,5
165,5
2259,5
5112,6
5283,7
718,5
5304,6
1720,5
3885,5
3951,6
6279,4
4858,6
6433,7
4424,6
5557,6
4981,7
1795,5
6287,6
965,6
111,5
1897,6
982,6
2189,5
5414,7
6061,6
3764,5
4266,7
1522,5
4681,6
4782,6
3480,6
6228,7
5159,6
1275,6
3348,6
5262,6
3243,7
3894,6
1548,5
4368,5
123,5
3738,5
4236,5
2282,5
6040,6
3742,7
4183,7
6192,6
5780,6
3888,7
3960,5
5590,5
1299,3
3697,6
5633,5
1046,6
282,5
2969,6
821,7
2320,5
3570,7
5456,6
4022,6
4499,6
4259,6
116,6
2800,7
5332,6
4154,7
3114,6
3412,6
2303,6
1512,6
6093,6
5461,6
1922,6
2193,5
254,6
21,5
2221,6
1572,5
4340,5
5821,4
3787,6
738,5
590,5
5919,5
6299,5
6280,6
2018,6
1090,8
1126,6
1004,5
752,5
523,5
2516,6
152,5
324,6
4220,5
5696,6
97,5
1318,6
5829,6
4636,6
6263,7
3943,6
4470,6
4745,6
2923,6
4973,5
6477,4
4566,6
4719,6
4872,7
4813,6
2355,5
2726,7
790,6
4633,6
77,6
6205,5
1297,6
1839,5
5253,6
442,7
4463,6
2651,5
2227,6
360,5
2882,8
3649,3
1061,8
3735,6
1091,6
2381,7
4044,5
3316,6
499,6
5413,5
333,5
447,5
5521,7
2683,7
5423,7
6123,6
887,7
3646,5
5519,6
1814,5
4991,6
1492,5
599,6
676,6
958,7
5384,7
6262,7
2274,6
3504,6
4096,5
6266,7
2447,7
5311,5
2669,7
3140,4
1833,6
2777,5
4822,6
4571,6
1175,6
1349,5
4902,7
2137,5
700,6
1631,6
3799,5
3450,6
4025,6
1055,6
2957,8
3954,7
4686,3
868,6
1876,5
1934,6
4185,7
3887,5
4159,6
2640,5
6308,6
1597,5
6443,6
141,5
3935,5
5891,6
1019,5
1025,6
4549,5
4904,7
2560,7
2537,6
383,6
5762,5
3575,5
4613,6
1732,5
4828,7
5190,5
6232,6
5011,6
3831,6
2078,6
4328,7
3331,5
1882,5
1465,5
2453,7
3025,6
2351,6
5111,6
416,6
1227,5
5042,6
2155,5
3706,6
4604,6
6210,5
299,5
1347,5
5474,7
3848,5
55,5
5838,7
5197,7
4871,7
6244,7
6398,6
4803,5
6414,7
1846,7
3647,5
4823,6
3113,7
2892,4
5809,6
2639,4
5948,5
4642,6
1002,7
1336,5
1606,6
1550,5
4387,5
1570,6
5526,5
6292,6
6085,6
2116,6
2117,6
1709,6
166,5
2872,5
4731,6
2724,6
5278,7
2743,5
1634,5
3890,6
3439,5
6144,6
1076,6
4334,6
4600,7
5200,7
1691,7
269,6
3132,6
3006,6
1743,6
4914,7
5726,5
3269,6
5836,5
5570,6
5945,6
1339,6
5113,6
4330,5
4627,6
1466,7
122,5
5593,7
5320,5
2970,7
5343,7
672,5
6349,5
4781,5
6211,5
4786,7
3583,8
2216,6
4506,6
4718,5
946,7
3380,4
5205,5
3556,6
878,6
2442,7
3789,6
1440,7
6075,6
5921,7
5772,5
6184,6
1666,5
3582,8
1559,5
5608,6
585,6
3483,5
6407,5
198,7
180,5
1781,5
38,4
5125,6
2532,5
5927,5
4000,4
1394,5
5718,7
4609,5
6252,7
375,7
440,8
3502,5
8,7
1835,6
5284,6
5864,6
6294,7
2979,7
2210,6
4058,5
2024,6
1731,5
119,6
3399,6
5281,7
6110,6
5057,7
3607,5
3510,6
3376,6
3644,5
3158,4
1447,5
698,5
3218,8
3936,4
608,6
344,6
2973,7
6137,6
1641,6
194,5
3434,5
1744,6
5186,6
4395,7
1273,5
5951,5
4639,5
5104,7
2642,5
6260,5
6158,7
1238,4
1162,7
2037,7
1181,5
5293,5
5796,5
2496,6
3261,7
6493,5
6023,6
420,7
1946,6
6458,6
5092,7
1094,6
716,5
1086,7
47,5
2159,7
4693,6
405,6
725,5
6022,6
5957,5
5956,6
1295,5
2474,7
1100,6
2897,6
5581,7
2736,8
95,6
983,6
781,5
1155,5
1799,5
4289,6
5213,5
3401,6
219,5
5079,8
5887,6
4944,6
1906,6
935,6
3185,5
1555,7
1925,6
4949,6
544,6
2142,6
266,4
5324,6
421,7
3520,5
2346,6
5110,7
3676,6
2317,7
2348,6
3845,4
3671,5
1910,8
3818,7
1057,5
4121,8
81,5
57,5
138,5
1544,7
4555,6
3715,4
2812,6
519,5
2280,5
6080,5
2582,6
3486,5
4263,7
3400,5
452,6
1770,6
2211,5
3939,6
6230,7
5846,6
3435,6
3115,6
2322,8
5170,4
3317,4
2138,6
2891,6
4134,6
6473,6
18,4
5411,5
1445,6
5778,5
2437,8
6257,6
30,5
4940,6
6102,7
4440,6
2949,7
3197,6
3998,6
5795,6
4657,5
2402,7
912,6
3263,4
217,5
4412,7
1146,6
2333,5
4493,7
816,6
3590,8
4740,7
5106,7
1320,5
3721,5
543,6
2799,6
3378,8
3877,6
5229,6
3273,6
215,5
5991,5
230,7
2066,6
713,5
509,7
5460,6
199,4
357,7
1266,6
4406,5
6320,6
2414,5
2372,5
6046,6
1096,6
6203,6
5596,7
2515,7
5947,6
1257,6
1966,6
4252,5
3496,6
5230,6
537,6
695,6
1582,5
4114,7
316,5
6156,6
4819,5
3043,6
5549,5
5716,6
4691,6
4124,8
4563,5
3021,5
290,7
4925,5
4861,7
559,6
654,5
5483,6
5777,7
1253,5
3782,5
6018,6
4214,7
1221,6
4168,6
4937,6
2124,6
2486,7
4544,8
737,6
1172,6
4413,7
5189,7
1728,6
5152,6
5818,5
2994,7
5491,5
6106,5
4941,5
5471,4
2025,6
1913,5
124,5
6272,7
1350,5
2174,6
828,8
2008,5
3421,7
2545,5
3847,6
3722,5
431,5
4961,6
1703,5
4295,6
4279,6
1547,5
2934,6
1714,4
6084,6
3979,4
4980,7
4049,5
5045,6
1813,7
2153,7
445,6
1006,7
1505,3
658,6
5118,7
3464,6
5527,5
6427,5
969,5
2502,6
5127,4
3933,5
4539,6
3543,5
1588,6
4883,6
3124,5
3323,6
6388,6
2729,6
1118,6
444,7
3215,6
1810,7
3445,5
4006,6
5359,6
2100,6
1955,6
5407,6
5738,7
510,5
5457,6
1821,7
178,5
3459,6
5504,7
5369,4
5286,5
2819,6
2686,8
6432,6
5137,7
1498,6
6073,6
4706,6
1083,6
5580,7
2136,6
2601,6
292,6
249,6
2752,6
5380,6
4896,5
5280,8
3037,5
6393,5
6133,6
2356,6
4570,5
4162,5
1707,6
1464,5
5252,6
1428,5
2390,7
5848,6
2544,7
6357,6
439,5
2401,5
5552,7
6284,5
5657,6
1751,6
4308,5
4664,6
3668,7
2860,6
2606,5
1244,6
0,5
4780,6
2183,7
3044,6
3008,6
5065,6
4519,4
567,6
1902,6
1921,6
2756,6
2152,7
1409,6
971,6
5866,7
1093,7
5565,6
5828,6
1567,5
766,5
4272,6
3796,6
6198,7
5392,6
2205,5
2123,5
2436,8
368,5
1736,5
3233,6
5954,6
1748,6
4129,6
552,6
2077,6
3620,6
2665,6
1171,6
1475,7
1416,5
2150,7
1853,6
5468,6
3703,5
1887,7
454,5
297,5
1015,6
1270,6
6025,6
833,4
5746,7
5424,6
186,5
5329,6
1323,7
3545,6
4297,6
3745,6
823,5
4590,7
1825,6
117,6
1892,7
5226,5
4046,6
3995,5
4269,7
5301,6
6412,5
3968,6
4761,7
469,5
227,5
4421,5
4674,7
2878,6
3406,6
4567,5
3100,5
2590,4
1879,8
2988,6
4542,8
1403,8
482,5
1569,6
3690,5
5001,6
31,6
250,6
862,5
1259,6
3817,6
2021,6
5165,6
1525,5
2411,7
3902,5
4815,5
6375,6
604,6
4602,7
1255,5
5255,7
1001,7
1053,7
2773,6
1747,7
3112,6
6418,6
1286,6
2589,6
4027,6
6429,6
2714,8
2675,6
6178,6
6381,6
3165,5
6136,5
309,6
362,5
6364,8
4247,6
581,5
4867,6
3658,5
2774,5
4661,8
1916,5
611,5
1958,6
5895,6
890,5
4078,6
1831,6
2566,6
1530,6
803,6
2490,7
4988,7
6451,5
1827,6
1542,6
1165,5
63,5
5992,6
5364,5
89,5
2507,4
1035,7
4922,6
3532,5
4766,7
4677,5
4319,7
2262,5
3674,5
1702,5
4374,8
205,7
4777,6
472,6
1960,5
5050,7
4304,6
6241,7
2344,6
5030,6
4696,5
2471,6
3455,4
5896,6
2725,7
1642,6
3774,7
5071,6
6081,6
2488,7
2134,5
3057,6
2423,5
2158,6
3736,5
2521,6
1098,7
616,5
2180,5
3034,5
294,6
224,4
3712,5
4742,5
1564,5
712,5
3289,4
1677,5
3733,6
5480,6
6148,5
2318,7
4441,6
617,6
6060,6
4709,6
3996,6
6152,6
3079,6
546,6
836,7
3930,5
5648,6
190,5
4970,6
355,6
756,6
3424,5
1283,6
1797,5
5960,6
5559,6
4725,7
1850,3
5475,5
3264,8
4928,6
859,6
3967,6
3259,6
3482,5
6005,7
2392,7
4287,6
4410,5
2834,5
1342,6
3247,5
2789,6
2038,5
108,6
3448,6
3200,6
1754,6
3657,5
2638,5
114,5
1062,6
5663,5
806,7
4917,7
5514,7
5234,6
1579,5
2235,7
1008,7
580,5
1951,6
2813,6
2859,6
5135,6
897,6
4778,4
204,6
5667,6
564,6
61,5
1287,5
6488,6
382,6
4375,8
5500,4
6368,6
4268,5
2293,6
4658,6
4976,6
3896,6
3793,6
251,6
5816,4
807,7
4215,7
3452,5
3183,6
2916,5
3325,6
898,7
2987,7
3798,6
365,6
5623,6
4818,7
2982,6
2568,7
6366,7
4484,6
4396,5
3616,5
3073,4
4131,4
6003,5
4466,7
6024,6
1624,6
425,7
1927,6
5827,6
5490,5
2107,6
4150,6
1427,5
2067,5
6168,6
4270,7
1189,4
5167,7
1071,5
5013,7
6434,6
5541,6
4253,5
4670,7
4606,7
2048,7
697,6
12,5
6176,6
2319,5
4487,4
651,5
5653,7
1776,5
3762,6
3407,5
5021,8
53,5
5391,6
1537,6
5465,6
3791,6
3886,5
993,5
3056,6
1114,6
4698,7
1157,7
5790,5
1623,6
1281,6
2855,6
2662,5
3749,6
5857,6
1761,5
4684,6
598,6
851,5
1194,6
1940,6
2681,6
1979,7
2984,5
3698,5
1331,5
1753,6
6317,6
5427,6
15,5
4246,5
466,6
283,7
4160,5
569,6
6318,6
4576,6
2660,5
1371,6
5952,6
2551,6
3824,4
398,6
5528,5
2417,5
5097,6
1407,6
4020,5
1931,6
3178,4
1926,6
5375,5
1024,7
5735,6
423,7
4594,6
3413,7
1185,6
6310,6
4689,6
5924,5
2296,5
3530,3
554,5
4932,6
3801,5
2879,6
4367,6
3609,6
3928,5
4320,5
5674,6
185,5
4102,4
3485,5
5531,8
2696,7
2996,7
3305,6
2543,7
4326,6
3523,4
1116,6
3633,5
5695,5
408,6
2003,6
3577,6
3110,6
1307,4
173,6
2375,6
6380,5
6062,6
4804,7
1415,5
6328,5
4776,5
4707,5
990,5
2284,5
2847,7
2129,6
563,6
2835,6
3224,6
5378,7
1149,6
2095,4
1497,6
1237,6
1990,5
2887,7
1128,5
2936,5
2906,5
3000,6
2706,7
5766,8
4807,5
2833,6
690,3
1907,7
4806,6
3098,6
4796,6
1049,6
3741,5
5625,6
3897,8
6189,6
48,5
1591,6
5741,6
4055,6
4461,6
351,6
2745,5
5937,8
1607,6
2425,6
191,6
782,5
5598,6
1562,5
4391,5
3063,8
5096,6
3768,7
1390,6
5406,5
3444,5
6390,6
1982,6
395,7
5048,8
5830,6
2935,8
2105,5
13,5
4936,6
5214,6
4603,6
5183,7
3740,5
4432,7
4317,6
6150,6
6104,5
4873,5
1481,5
154,5
1448,5
547,6
5542,6
5395,6
2977,7
5487,6
4456,8
3701,5
6033,6
4192,5
2234,6
4274,7
1433,7
5910,5
2997,7
489,6
4165,7
3061,6
6389,6
2133,6
5161,6
1510,6
2228,6
5204,5
6214,7
6330,6
2644,5
3075,5
4376,6
1514,6
518,6
3637,5
5119,5
1110,6
45,4
1387,5
6019,6
3156,6
5770,5
5995,5
4847,7
3718,4
615,5
622,5
4324,5
4,5
2237,5
83,5
3138,6
4543,6
4849,6
261,4
1571,6
5450,7
6373,4
2167,6
3662,5
1362,6
1113,6
4857,6
1868,6
1581,5
3688,6
717,5
730,5
2004,5
6484,6
1379,6
4732,6
3493,5
1553,5
2775,7
